  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    127939.1100,       2.39999424,       2.20000000,       0.30014200,       0.27513083
         6,    110544.9500,       2.40001737,       2.20000000,       0.34737300,       0.31842295
         7,    129755.8700,       2.40001429,       2.20000000,       0.29594200,       0.27127855
         8,    119407.4400,       2.40001348,       2.20000000,       0.32159000,       0.29478918
        10,    133731.2400,       2.40001314,       2.20000000,       0.28714500,       0.26321481
        12,    134070.1600,       2.40001598,       2.20000000,       0.28641900,       0.26254900
        14,    132193.2100,       2.40001119,       2.20000000,       0.29048500,       0.26627667
        17,    132575.0200,       2.40001432,       2.20000000,       0.28964900,       0.26551000
        20,    134337.9700,       2.40001309,       2.20000000,       0.28584800,       0.26202590
        24,    130318.0600,       2.40001438,       2.20000000,       0.29466500,       0.27010796
        29,    107348.7100,       2.40001624,       2.20000000,       0.35771500,       0.32790320
        35,     57653.1700,       2.40001628,       2.20000000,       0.66605600,       0.61054719
        42,     35429.8800,       2.39993609,       2.20000000,       1.08380200,       0.99351162
        50,     33947.4200,       2.40001471,       2.20000000,       1.13116800,       1.03689764
        60,     37553.2300,       2.40001593,       2.20000000,       1.02255500,       0.93733586
        72,     37831.5600,       2.40001511,       2.20000000,       1.01503200,       0.93044014
        86,     35754.4700,       2.40001376,       2.20000000,       1.07399800,       0.98449252
       103,     37984.1300,       2.39997967,       2.20000000,       1.01094000,       0.92670285
       124,     37905.5100,       2.39994641,       2.20000000,       1.01302300,       0.92862515
       149,     38001.5300,       2.40000909,       2.20000000,       1.01048900,       0.92627807
       179,     37364.6600,       2.40000727,       2.20000000,       1.02771200,       0.94206648
       215,     37002.9800,       2.40001679,       2.20000000,       1.03776200,       0.95127518
       258,     37177.3300,       2.40001427,       2.20000000,       1.03289400,       0.94681387
       310,     38014.4000,       2.39998509,       2.20000000,       1.01013700,       0.92596467
       372,     39455.0400,       2.40001631,       2.20000000,       0.97326600,       0.89215444
       446,     39935.8500,       2.39984631,       2.20000000,       0.96148100,       0.88141403
       535,     40258.0600,       2.40001871,       2.20000000,       0.95385400,       0.87435935
       642,     32792.1700,       2.40000030,       2.20000000,       1.17101100,       1.07342661
       770,     38373.8600,       2.40001581,       2.20000000,       1.00068800,       0.91729129
       924,     30624.7100,       2.40001367,       2.20000000,       1.25389600,       1.14939812
      1109,     28647.1900,       2.40001160,       2.20000000,       1.34045200,       1.22874173
      1331,     23226.3700,       2.40001022,       2.20000000,       1.65330000,       1.51551855
      1597,     21121.3100,       2.40001204,       2.20000000,       1.81807800,       1.66656314
      1916,     19407.5200,       2.40001141,       2.20000000,       1.97862400,       1.81373005
      2299,     19483.2100,       2.39997713,       2.20000000,       1.97090900,       1.80668380
      2759,     19424.2200,       2.40001904,       2.20000000,       1.97692900,       1.81217054
      3311,     19388.6500,       2.40001527,       2.20000000,       1.98055200,       1.81549445
      3973,     19207.9500,       2.40001274,       2.20000000,       1.99918200,       1.83257377
      4768,     19052.6500,       2.40001401,       2.20000000,       2.01548000,       1.84751255
      5722,     19342.5100,       2.40001578,       2.20000000,       1.98527800,       1.81982620
      6866,     19388.1900,       2.40000008,       2.20000000,       1.98058700,       1.81553802
      8239,     19138.2400,       2.39979465,       2.20000000,       2.00628300,       1.83925012
      9887,     19144.6600,       2.39986620,       2.20000000,       2.00566900,       1.83863242
     11864,     18463.5900,       2.40001659,       2.20000000,       2.07978300,       1.90645457
     14237,     17004.4000,       2.40001457,       2.20000000,       2.25825200,       2.07005176
     17084,     15048.7400,       2.39994807,       2.20000000,       2.55165300,       2.33906586
     20501,     13523.7000,       2.40001241,       2.20000000,       2.83947400,       2.60283771
     24601,     12323.3800,       2.40001096,       2.20000000,       3.11604100,       2.85635788
     29521,     12038.8700,       2.40001117,       2.20000000,       3.18968400,       2.92386339
     35425,     11570.8800,       2.40001739,       2.20000000,       3.31870100,       3.04212054
     42510,     11162.8700,       2.39986770,       2.20000000,       3.43978500,       3.15331007
     51012,     10990.4100,       2.40001012,       2.20000000,       3.49396900,       3.20279142
     61214,     10934.6300,       2.40001368,       2.20000000,       3.51179800,       3.21912981
     73457,     10984.9300,       2.40001801,       2.20000000,       3.49572400,       3.20438963
     88148,     10756.7900,       2.39994641,       2.20000000,       3.56975700,       3.27235032
    105778,     10738.3200,       2.40001403,       2.20000000,       3.57599800,       3.27797901
    126934,     10781.8600,       2.40001515,       2.20000000,       3.56155900,       3.26474181
    152321,     10565.0600,       2.40000444,       2.20000000,       3.63462700,       3.33173525
    182785,     10654.5300,       2.40001441,       2.20000000,       3.60412200,       3.30375866
    219342,     10747.8000,       2.40001542,       2.20000000,       3.57284700,       3.27508871
    263210,     10757.8200,       2.40001548,       2.20000000,       3.56952100,       3.27203981
    315852,     10712.4400,       2.40001346,       2.20000000,       3.58463900,       3.28590065
    379022,     10537.6700,       2.39983208,       2.20000000,       3.64381500,       3.34039746
    454826,     10638.8100,       2.40001569,       2.20000000,       3.60944900,       3.30863996
    545791,     10722.8300,       2.40000810,       2.20000000,       3.58115500,       3.28271434
    654949,     10697.3700,       2.39997519,       2.20000000,       3.58963200,       3.29053001
    785939,     10719.4600,       2.39998552,       2.20000000,       3.58225000,       3.28374897
    943127,     10626.5500,       2.39996942,       2.20000000,       3.61354300,       3.31245662
   1131752,     10636.0700,       2.40001270,       2.20000000,       3.61037500,       3.30949290
   1358102,     10674.8900,       2.40001289,       2.20000000,       3.59724700,       3.29745870
   1629722,     10530.3000,       2.40000941,       2.20000000,       3.64663400,       3.34273473
   1955666,     10515.7800,       2.39998271,       2.20000000,       3.65162900,       3.34735069
   2346799,     10659.4200,       2.39997852,       2.20000000,       3.60241600,       3.30224422
   2816159,     10560.6200,       2.40001646,       2.20000000,       3.63617600,       3.33313847
   3379391,     10580.5500,       2.40001507,       2.20000000,       3.62932300,       3.32685853
   4055269,     10516.9400,       2.40001064,       2.20000000,       3.65126800,       3.34698082
