  Size(KB),       Bw(MB/s),    nominal_clock,     actual_clock,   cy_nominal/LUP,           cy/LUP
         5,    107926.7000,       2.40001605,       2.20000000,       0.17790000,       0.16307391
         6,    108679.7500,       2.40001090,       2.20000000,       0.17666700,       0.16194401
         7,    109209.2600,       2.40001257,       2.20000000,       0.17581000,       0.16115832
         8,    109643.2200,       2.40001802,       2.20000000,       0.17511500,       0.16052088
        10,    110187.0800,       2.40001654,       2.20000000,       0.17425000,       0.15972807
        12,    110547.9000,       2.40001483,       2.20000000,       0.17368100,       0.15920660
        14,    110834.9700,       2.40001510,       2.20000000,       0.17323200,       0.15879500
        17,    111111.7100,       2.40000660,       2.20000000,       0.17280000,       0.15839956
        20,    104918.2300,       2.40001361,       2.20000000,       0.18300100,       0.16774997
        24,    111497.9600,       2.40001324,       2.20000000,       0.17220100,       0.15785005
        29,    106776.2500,       2.40001586,       2.20000000,       0.17981600,       0.16483024
        35,     75386.6300,       2.40000327,       2.20000000,       0.25468700,       0.23346277
        42,     61328.9800,       2.39999026,       2.20000000,       0.31306400,       0.28697650
        50,     61648.1100,       2.40001159,       2.20000000,       0.31144700,       0.28549170
        60,     62023.9200,       2.40001298,       2.20000000,       0.30956000,       0.28376180
        72,     61859.4100,       2.40001341,       2.20000000,       0.31038300,       0.28451616
        86,     62122.1400,       2.39998682,       2.20000000,       0.30906700,       0.28331297
       103,     62150.9600,       2.39982937,       2.20000000,       0.30890300,       0.28318122
       124,     62485.3900,       2.39998704,       2.20000000,       0.30727000,       0.28166569
       149,     62659.3900,       2.40001401,       2.20000000,       0.30642000,       0.28088336
       179,     62646.6900,       2.40001498,       2.20000000,       0.30648300,       0.28094100
       215,     62655.8800,       2.39999083,       2.20000000,       0.30643500,       0.28089982
       258,     62580.4900,       2.40001331,       2.20000000,       0.30680700,       0.28123819
       310,     61269.7300,       2.40001187,       2.20000000,       0.31337000,       0.28725441
       372,     60430.0400,       2.39999752,       2.20000000,       0.31772200,       0.29124547
       446,     60075.1500,       2.40001260,       2.20000000,       0.31960100,       0.29296605
       535,     59879.5600,       2.40001465,       2.20000000,       0.32064600,       0.29392371
       642,     59855.4500,       2.40001252,       2.20000000,       0.32077400,       0.29404130
       770,     59900.5800,       2.40000946,       2.20000000,       0.32053200,       0.29381984
       924,     46201.7700,       2.39999045,       2.20000000,       0.41556700,       0.38093793
      1109,     39269.5200,       2.40001670,       2.20000000,       0.48893200,       0.44818455
      1331,     31002.5400,       2.40001468,       2.20000000,       0.61930800,       0.56769553
      1597,     24849.4800,       2.40001176,       2.20000000,       0.77265600,       0.70826453
      1916,     22428.0300,       2.40001029,       2.20000000,       0.85607500,       0.78473205
      2299,     22156.4100,       2.40001435,       2.20000000,       0.86657100,       0.79435200
      2759,     22129.5100,       2.40001317,       2.20000000,       0.86762400,       0.79531764
      3311,     22126.3800,       2.40001336,       2.20000000,       0.86774700,       0.79543032
      3973,     22127.0200,       2.39983339,       2.20000000,       0.86765700,       0.79540747
      4768,     22134.6800,       2.40001352,       2.20000000,       0.86742200,       0.79513235
      5722,     22131.7500,       2.40000019,       2.20000000,       0.86753200,       0.79523760
      6866,     22132.7800,       2.40001379,       2.20000000,       0.86749700,       0.79520101
      8239,     22131.6600,       2.39998002,       2.20000000,       0.86752800,       0.79524062
      9887,     22098.2700,       2.40001364,       2.20000000,       0.86885100,       0.79644222
     11864,     21384.9800,       2.39998123,       2.20000000,       0.89781900,       0.82300719
     14237,     20088.6700,       2.39998133,       2.20000000,       0.95575500,       0.87611557
     17084,     18254.2300,       2.40001289,       2.20000000,       1.05181600,       0.96415949
     20501,     17133.0800,       2.40001278,       2.20000000,       1.12064500,       1.02725245
     24601,     16301.7600,       2.40001123,       2.20000000,       1.17779200,       1.07963762
     29521,     15600.4400,       2.40001007,       2.20000000,       1.23073900,       1.12817268
     35425,     15079.3600,       2.40001338,       2.20000000,       1.27327000,       1.16715766
     42510,     14631.5600,       2.40001048,       2.20000000,       1.31223800,       1.20287958
     51012,     14275.3400,       2.39999864,       2.20000000,       1.34497600,       1.23289537
     61214,     13987.1200,       2.40001086,       2.20000000,       1.37269800,       1.25830081
     73457,     13839.5400,       2.40000093,       2.20000000,       1.38733000,       1.27171868
     88148,     13680.4300,       2.40001298,       2.20000000,       1.40347200,       1.28650904
    105778,     13513.3200,       2.39990689,       2.20000000,       1.42076500,       1.30241845
    126934,     13423.1600,       2.40001208,       2.20000000,       1.43037000,       1.31116590
    152321,     13362.5700,       2.40000766,       2.20000000,       1.43685400,       1.31711196
    182785,     13269.8500,       2.40001751,       2.20000000,       1.44690000,       1.32631533
    219342,     13190.3100,       2.39997156,       2.20000000,       1.45559700,       1.33431306
    263210,     13190.2100,       2.40000273,       2.20000000,       1.45562700,       1.33432323
    315852,     13121.0100,       2.40001085,       2.20000000,       1.46330800,       1.34135960
    379022,     13089.0500,       2.40001587,       2.20000000,       1.46688500,       1.34463569
    454826,     13077.7000,       2.40001297,       2.20000000,       1.46815600,       1.34580239
    545791,     13038.6600,       2.40001550,       2.20000000,       1.47255300,       1.34983153
    654949,     13017.4600,       2.39997258,       2.20000000,       1.47492500,       1.35203003
    785939,     12983.4500,       2.40000404,       2.20000000,       1.47880800,       1.35557172
    943127,     12991.5300,       2.39985129,       2.20000000,       1.47779500,       1.35472936
   1131752,     12983.8300,       2.40001586,       2.20000000,       1.47877200,       1.35553205
   1358102,     12965.5700,       2.40001508,       2.20000000,       1.48085400,       1.35744097
   1629722,     12949.9100,       2.40001159,       2.20000000,       1.48264300,       1.35908285
   1955666,     12977.4600,       2.40001582,       2.20000000,       1.47949800,       1.35619756
   2346799,     12958.3000,       2.39995184,       2.20000000,       1.48164600,       1.35820275
   2816159,     12953.5000,       2.40001062,       2.20000000,       1.48223200,       1.35870665
   3379391,     12959.4600,       2.39999435,       2.20000000,       1.48154000,       1.35808153
   4055269,     12949.9600,       2.40001022,       2.20000000,       1.48263600,       1.35907721
   4866323,     12942.1700,       2.40000937,       2.20000000,       1.48352900,       1.35989627
   5839588,     12951.1800,       2.40001157,       2.20000000,       1.48249700,       1.35894903
